     acronym                                                               name
       ACAv5                     Anterior cingulate area, ventral part, layer 5
         ATN                              Anterior group of the dorsal thalamus
         AHN                                      Anterior hypothalamic nucleus
         AON                                         Anterior olfactory nucleus
         APN                                         Anterior pretectal nucleus
          AT                                         Anterior tegmental nucleus
          AD                                               Anterodorsal nucleus
         ADP                                      Anterodorsal preoptic nucleus
       VISal                                          Anterolateral visual area
      VISal1                                 Anterolateral visual area, layer 1
    VISal2/3                               Anterolateral visual area, layer 2/3
      VISal4                                 Anterolateral visual area, layer 4
      VISal5                                 Anterolateral visual area, layer 5
     VISal6a                                Anterolateral visual area, layer 6a
     VISal6b                                Anterolateral visual area, layer 6b
          AM                                               Anteromedial nucleus
         AMd                                  Anteromedial nucleus, dorsal part
         AMv                                 Anteromedial nucleus, ventral part
       VISam                                           Anteromedial visual area
      VISam1                                  Anteromedial visual area, layer 1
    VISam2/3                                Anteromedial visual area, layer 2/3
      VISam4                                  Anteromedial visual area, layer 4
      VISam5                                  Anteromedial visual area, layer 5
     VISam6a                                 Anteromedial visual area, layer 6a
     VISam6b                                 Anteromedial visual area, layer 6b
          AV                                  Anteroventral nucleus of thalamus
        AVPV                              Anteroventral periventricular nucleus
         AVP                                     Anteroventral preoptic nucleus
         ARH                                       Arcuate hypothalamic nucleus
          AP                                                      Area postrema
         APr                                                    Area prostriata
         AUD                                                     Auditory areas
           B                                               Barrington's nucleus
        grey                                      Basic cell groups and regions
         BLA                                      Basolateral amygdalar nucleus
        BLAa                       Basolateral amygdalar nucleus, anterior part
        BLAp                      Basolateral amygdalar nucleus, posterior part
        BLAv                        Basolateral amygdalar nucleus, ventral part
         BMA                                       Basomedial amygdalar nucleus
        BMAa                        Basomedial amygdalar nucleus, anterior part
        BMAp                       Basomedial amygdalar nucleus, posterior part
         BST                                 Bed nuclei of the stria terminalis
          BA                       Bed nucleus of the accessory olfactory tract
         BAC                             Bed nucleus of the anterior commissure
          BS                                                         Brain stem
          CP                                                       Caudoputamen
         CEA                                          Central amygdalar nucleus
        CEAc                           Central amygdalar nucleus, capsular part
        CEAl                            Central amygdalar nucleus, lateral part
        CEAm                             Central amygdalar nucleus, medial part
          CL                            Central lateral nucleus of the thalamus
         CLI                                       Central linear nucleus raphe
        CENT                                                     Central lobule
          CM                             Central medial nucleus of the thalamus
         CBX                                                  Cerebellar cortex
         CBN                                                  Cerebellar nuclei
          CB                                                         Cerebellum
         CTX                                                    Cerebral cortex
         CNU                                                    Cerebral nuclei
          CH                                                           Cerebrum
         CLA                                                          Claustrum
          CN                                                    Cochlear nuclei
        COPY                                                   Copula pyramidis
         COA                                            Cortical amygdalar area
        COAa                             Cortical amygdalar area, anterior part
        COAp                            Cortical amygdalar area, posterior part
       COApl              Cortical amygdalar area, posterior part, lateral zone
       COApm               Cortical amygdalar area, posterior part, medial zone
       CTXpl                                                     Cortical plate
       CTXsp                                                  Cortical subplate
       ANcr1                                                             Crus 1
       ANcr2                                                             Crus 2
         CUL                                                             Culmen
          CU                                                    Cuneate nucleus
         CUN                                                  Cuneiform nucleus
         DEC                                                       Declive (VI)
          DG                                                      Dentate gyrus
       DG-sg                                  Dentate gyrus, granule cell layer
       DG-mo                                     Dentate gyrus, molecular layer
       DG-po                                     Dentate gyrus, polymorph layer
          DN                                                    Dentate nucleus
         NDB                                              Diagonal band nucleus
        AUDd                                               Dorsal auditory area
       AUDd1                                      Dorsal auditory area, layer 1
     AUDd2/3                                    Dorsal auditory area, layer 2/3
       AUDd4                                      Dorsal auditory area, layer 4
       AUDd5                                      Dorsal auditory area, layer 5
      AUDd6a                                     Dorsal auditory area, layer 6a
      AUDd6b                                     Dorsal auditory area, layer 6b
         DCO                                            Dorsal cochlear nucleus
         DCN                                               Dorsal column nuclei
         DMX                            Dorsal motor nucleus of the vagus nerve
          DR                                               Dorsal nucleus raphe
         LGd                      Dorsal part of the lateral geniculate complex
      LGd-co                Dorsal part of the lateral geniculate complex, core
      LGd-ip    Dorsal part of the lateral geniculate complex, ipsilateral zone
      LGd-sh               Dorsal part of the lateral geniculate complex, shell
          DP                                             Dorsal peduncular area
         PMd                                       Dorsal premammillary nucleus
         DTN                                           Dorsal tegmental nucleus
          DT               Dorsal terminal nucleus of the accessory optic tract
         DMH                            Dorsomedial nucleus of the hypothalamus
         ECT                                                    Ectorhinal area
        ECT1                                            Ectorhinal area/Layer 1
      ECT2/3                                          Ectorhinal area/Layer 2/3
        ECT5                                            Ectorhinal area/Layer 5
       ECT6a                                           Ectorhinal area/Layer 6a
       ECT6b                                           Ectorhinal area/Layer 6b
          EW                                           Edinger-Westphal nucleus
          EP                                               Endopiriform nucleus
         EPd                                  Endopiriform nucleus, dorsal part
         EPv                                 Endopiriform nucleus, ventral part
         ENT                                                    Entorhinal area
        ENTl                                      Entorhinal area, lateral part
       ENTl1                             Entorhinal area, lateral part, layer 1
       ENTl2                             Entorhinal area, lateral part, layer 2
       ENTl3                             Entorhinal area, lateral part, layer 3
       ENTl5                             Entorhinal area, lateral part, layer 5
      ENTl6a                            Entorhinal area, lateral part, layer 6a
        ENTm                          Entorhinal area, medial part, dorsal zone
       ENTm1                 Entorhinal area, medial part, dorsal zone, layer 1
       ENTm2                 Entorhinal area, medial part, dorsal zone, layer 2
       ENTm3                 Entorhinal area, medial part, dorsal zone, layer 3
       ENTm5                 Entorhinal area, medial part, dorsal zone, layer 5
       ENTm6                 Entorhinal area, medial part, dorsal zone, layer 6
         EPI                                                        Epithalamus
         Eth                                    Ethmoid nucleus of the thalamus
         ECU                                           External cuneate nucleus
         VII                                               Facial motor nucleus
          FC                                                   Fasciola cinerea
          FN                                                  Fastigial nucleus
         CA1                                                          Field CA1
         CA2                                                          Field CA2
         CA3                                                          Field CA3
          FF                                                    Fields of Forel
          FL                                                          Flocculus
        FOTU                                          Folium-tuber vermis (VII)
         FRP                                      Frontal pole, cerebral cortex
        FRP1                                              Frontal pole, layer 1
      FRP2/3                                            Frontal pole, layer 2/3
        FRP5                                              Frontal pole, layer 5
       FRP6a                                             Frontal pole, layer 6a
       FRP6b                                             Frontal pole, layer 6b
          FS                                                 Fundus of striatum
        GENd                                  Geniculate group, dorsal thalamus
        GENv                                 Geniculate group, ventral thalamus
         GRN                                  Gigantocellular reticular nucleus
         GPe                                  Globus pallidus, external segment
         GPi                                  Globus pallidus, internal segment
          GR                                                    Gracile nucleus
          GU                                                    Gustatory areas
         GU1                                           Gustatory areas, layer 1
       GU2/3                                         Gustatory areas, layer 2/3
         GU4                                           Gustatory areas, layer 4
         GU5                                           Gustatory areas, layer 5
        GU6a                                          Gustatory areas, layer 6a
        GU6b                                          Gustatory areas, layer 6b
         HEM                                                Hemispheric regions
          HB                                                          Hindbrain
         HPF                                              Hippocampal formation
         HIP                                                 Hippocampal region
        HATA                               Hippocampo-amygdalar transition area
         XII                                                Hypoglossal nucleus
          LZ                                          Hypothalamic lateral zone
         MEZ                                           Hypothalamic medial zone
          HY                                                       Hypothalamus
          IG                                                   Induseum griseum
          IC                                                Inferior colliculus
         ICc                               Inferior colliculus, central nucleus
         ICd                                Inferior colliculus, dorsal nucleus
         ICe                              Inferior colliculus, external nucleus
          IO                                           Inferior olivary complex
         ISN                                        Inferior salivatory nucleus
         ICB                                            Infracerebellar nucleus
         ILA                                                   Infralimbic area
        ILA1                                          Infralimbic area, layer 1
      ILA2/3                                        Infralimbic area, layer 2/3
        ILA5                                          Infralimbic area, layer 5
       ILA6a                                         Infralimbic area, layer 6a
       ILA6b                                         Infralimbic area, layer 6b
         IAD                          Interanterodorsal nucleus of the thalamus
         IAM                          Interanteromedial nucleus of the thalamus
          IB                                                         Interbrain
          IA                                     Intercalated amygdalar nucleus
          IF                                      Interfascicular nucleus raphe
         IGL          Intergeniculate leaflet of the lateral geniculate complex
        IntG                                    Intermediate geniculate nucleus
         IRN                                     Intermediate reticular nucleus
         IMD                           Intermediodorsal nucleus of the thalamus
         IPN                                            Interpeduncular nucleus
         IPA                                    Interpeduncular nucleus, apical
         IPC                                    Interpeduncular nucleus, caudal
        IPDL                              Interpeduncular nucleus, dorsolateral
        IPDM                               Interpeduncular nucleus, dorsomedial
         IPI                              Interpeduncular nucleus, intermediate
         IPL                                   Interpeduncular nucleus, lateral
         IPR                                   Interpeduncular nucleus, rostral
        IPRL                             Interpeduncular nucleus, rostrolateral
          IP                                                 Interposed nucleus
         INC                                      Interstitial nucleus of Cajal
          I5                                            Intertrigeminal nucleus
         ILM                         Intralaminar nuclei of the dorsal thalamus
   Isocortex                                                          Isocortex
          KF                                          Koelliker-Fuse subnucleus
          LA                                          Lateral amygdalar nucleus
          LD                                 Lateral dorsal nucleus of thalamus
         LAT                               Lateral group of the dorsal thalamus
          LH                                                   Lateral habenula
         LHA                                          Lateral hypothalamic area
          LM                                         Lateral mammillary nucleus
          LP                          Lateral posterior nucleus of the thalamus
         LPO                                              Lateral preoptic area
         LRN                                          Lateral reticular nucleus
        LRNm                      Lateral reticular nucleus, magnocellular part
        LRNp                      Lateral reticular nucleus, parvicellular part
         LSX                                             Lateral septal complex
          LS                                             Lateral septal nucleus
         LSc                  Lateral septal nucleus, caudal (caudodorsal) part
         LSr               Lateral septal nucleus, rostral (rostroventral) part
         LSv                               Lateral septal nucleus, ventral part
          LT              Lateral terminal nucleus of the accessory optic tract
         LAV                                         Lateral vestibular nucleus
        VISl                                                Lateral visual area
       VISl1                                       Lateral visual area, layer 1
     VISl2/3                                     Lateral visual area, layer 2/3
       VISl4                                       Lateral visual area, layer 4
       VISl5                                       Lateral visual area, layer 5
      VISl6a                                      Lateral visual area, layer 6a
      VISl6b                                      Lateral visual area, layer 6b
         LDT                                     Laterodorsal tegmental nucleus
       VISli                                            Laterointermediate area
      VISli1                                   Laterointermediate area, layer 1
    VISli2/3                                 Laterointermediate area, layer 2/3
      VISli4                                   Laterointermediate area, layer 4
      VISli5                                   Laterointermediate area, layer 5
     VISli6a                                  Laterointermediate area, layer 6a
     VISli6b                                  Laterointermediate area, layer 6b
         LIN                                      Linear nucleus of the medulla
        LING                                                        Lingula (I)
       CENT2                                                          Lobule II
       CENT3                                                         Lobule III
     CUL4, 5                                                       Lobules IV-V
          LC                                                     Locus ceruleus
          MA                                              Magnocellular nucleus
        MARN                                    Magnocellular reticular nucleus
         MOB                                                Main olfactory bulb
         MBO                                                    Mammillary body
         MA3                                 Medial accesory oculomotor nucleus
         MEA                                           Medial amygdalar nucleus
          MG                                          Medial geniculate complex
         MGd                             Medial geniculate complex, dorsal part
         MGm                             Medial geniculate complex, medial part
         MGv                            Medial geniculate complex, ventral part
         MED                                Medial group of the dorsal thalamus
          MH                                                    Medial habenula
          MM                                          Medial mammillary nucleus
         MMd                             Medial mammillary nucleus, dorsal part
         MMl                            Medial mammillary nucleus, lateral part
         MMm                             Medial mammillary nucleus, medial part
        MMme                             Medial mammillary nucleus, median part
         MMp                          Medial mammillary nucleus, posterior part
         MPO                                               Medial preoptic area
         MPN                                            Medial preoptic nucleus
         MPT                                              Medial pretectal area
         MSC                                              Medial septal complex
          MS                                              Medial septal nucleus
          MT               Medial terminal nucleus of the accessory optic tract
          MV                                          Medial vestibular nucleus
          ME                                                    Median eminence
        MEPO                                            Median preoptic nucleus
          MD                                    Mediodorsal nucleus of thalamus
          MY                                                            Medulla
      MY-sat                                  Medulla, behavioral state related
      MY-mot                                             Medulla, motor related
      MY-sen                                           Medulla, sensory related
        MDRN                                        Medullary reticular nucleus
       MDRNd                           Medullary reticular nucleus, dorsal part
       MDRNv                          Medullary reticular nucleus, ventral part
          MB                                                           Midbrain
        RAmb                                              Midbrain raphe nuclei
         MRN                                         Midbrain reticular nucleus
          RR                       Midbrain reticular nucleus, retrorubral area
         MEV                                        Midbrain trigeminal nucleus
       MBsta                                 Midbrain, behavioral state related
       MBmot                                            Midbrain, motor related
       MBsen                                          Midbrain, sensory related
         MTN                               Midline group of the dorsal thalamus
           V                                        Motor nucleus of trigeminal
         NOD                                                        Nodulus (X)
         ACB                                                  Nucleus accumbens
         AMB                                                   Nucleus ambiguus
        AMBd                                  Nucleus ambiguus, dorsal division
        AMBv                                 Nucleus ambiguus, ventral division
          NI                                                   Nucleus incertus
          ND                                          Nucleus of Darkschewitsch
          NR                                                  Nucleus of Roller
          RE                                                Nucleus of reuniens
          NB                 Nucleus of the brachium of the inferior colliculus
         NLL                                   Nucleus of the lateral lemniscus
        NLOT                             Nucleus of the lateral olfactory tract
       NLOT3                    Nucleus of the lateral olfactory tract, layer 3
       NLOT1            Nucleus of the lateral olfactory tract, molecular layer
       NLOT2            Nucleus of the lateral olfactory tract, pyramidal layer
         NOT                                         Nucleus of the optic tract
         NPC                                Nucleus of the posterior commissure
         NTS                                      Nucleus of the solitary tract
         NTB                                      Nucleus of the trapezoid body
         PRP                                                 Nucleus prepositus
          RM                                               Nucleus raphe magnus
          RO                                             Nucleus raphe obscurus
         RPA                                             Nucleus raphe pallidus
         RPO                                               Nucleus raphe pontis
         SAG                                                    Nucleus sagulum
           x                                                          Nucleus x
           y                                                          Nucleus y
         III                                                 Oculomotor nucleus
         OLF                                                    Olfactory areas
          OT                                                 Olfactory tubercle
          OP                                          Olivary pretectal nucleus
         ORB                                                       Orbital area
        ORBl                                         Orbital area, lateral part
       ORBl1                                Orbital area, lateral part, layer 1
     ORBl2/3                              Orbital area, lateral part, layer 2/3
       ORBl5                                Orbital area, lateral part, layer 5
      ORBl6a                               Orbital area, lateral part, layer 6a
      ORBl6b                               Orbital area, lateral part, layer 6b
        ORBm                                          Orbital area, medial part
       ORBm1                                 Orbital area, medial part, layer 1
     ORBm2/3                               Orbital area, medial part, layer 2/3
       ORBm5                                 Orbital area, medial part, layer 5
      ORBm6a                                Orbital area, medial part, layer 6a
      ORBm6b                                Orbital area, medial part, layer 6b
       ORBvl                                   Orbital area, ventrolateral part
      ORBvl1                          Orbital area, ventrolateral part, layer 1
    ORBvl2/3                        Orbital area, ventrolateral part, layer 2/3
      ORBvl5                          Orbital area, ventrolateral part, layer 5
     ORBvl6a                         Orbital area, ventrolateral part, layer 6a
     ORBvl6b                         Orbital area, ventrolateral part, layer 6b
         PAL                                                           Pallidum
        PALc                                            Pallidum, caudal region
        PALd                                            Pallidum, dorsal region
        PALm                                            Pallidum, medial region
        PALv                                           Pallidum, ventral region
         PBG                                              Parabigeminal nucleus
          PB                                               Parabrachial nucleus
         PCN                                                Paracentral nucleus
          PF                                             Parafascicular nucleus
         PFL                                                      Paraflocculus
        PGRN                              Paragigantocellular reticular nucleus
       PGRNd                 Paragigantocellular reticular nucleus, dorsal part
       PGRNl                Paragigantocellular reticular nucleus, lateral part
         PRM                                                  Paramedian lobule
          PN                                                 Paranigral nucleus
         PPY                                              Parapyramidal nucleus
         PAS                                               Parasolitary nucleus
          PS                                                 Parastrial nucleus
         PAR                                                      Parasubiculum
        PSTN                                            Parasubthalamic nucleus
          PT                                                Parataenial nucleus
         Pa5                                             Paratrigeminal nucleus
         Pa4                                              Paratrochlear nucleus
         PVH                               Paraventricular hypothalamic nucleus
        PVHd          Paraventricular hypothalamic nucleus, descending division
         PVT                            Paraventricular nucleus of the thalamus
         PC5                                      Parvicellular motor 5 nucleus
        PARN                                    Parvicellular reticular nucleus
         PPN                                           Pedunculopontine nucleus
         PAG                                                Periaqueductal gray
         PeF                                               Perifornical nucleus
         PHY                                             Perihypoglossal nuclei
          PP                                             Peripeduncular nucleus
          PR                                              Perireunensis nucleus
        PERI                                                    Perirhinal area
       PERI1                                           Perirhinal area, layer 1
     PERI2/3                                         Perirhinal area, layer 2/3
       PERI5                                           Perirhinal area, layer 5
      PERI6a                                          Perirhinal area, layer 6a
      PERI6b                                          Perirhinal area, layer 6b
          P5                                                Peritrigeminal zone
         PVa                Periventricular hypothalamic nucleus, anterior part
         PVi            Periventricular hypothalamic nucleus, intermediate part
         PVp               Periventricular hypothalamic nucleus, posterior part
        PVpo                Periventricular hypothalamic nucleus, preoptic part
         PVR                                             Periventricular region
         PVZ                                               Periventricular zone
         PIR                                                      Piriform area
         PAA                                            Piriform-amygdalar area
           P                                                               Pons
       P-sat                                     Pons, behavioral state related
       P-mot                                                Pons, motor related
       P-sen                                              Pons, sensory related
         PCG                                               Pontine central gray
          PG                                                       Pontine gray
        PRNr                                          Pontine reticular nucleus
        PRNc                             Pontine reticular nucleus, caudal part
          PA                                        Posterior amygdalar nucleus
       AUDpo                                            Posterior auditory area
      AUDpo1                                   Posterior auditory area, layer 1
    AUDpo2/3                                 Posterior auditory area, layer 2/3
      AUDpo4                                   Posterior auditory area, layer 4
      AUDpo5                                   Posterior auditory area, layer 5
     AUDpo6a                                  Posterior auditory area, layer 6a
     AUDpo6b                                  Posterior auditory area, layer 6b
          PO                                  Posterior complex of the thalamus
          PH                                     Posterior hypothalamic nucleus
         PIL                            Posterior intralaminar thalamic nucleus
         POL                         Posterior limiting nucleus of the thalamus
        PTLp                               Posterior parietal association areas
         PPT                                        Posterior pretectal nucleus
         PoT                              Posterior triangular thalamic nucleus
          PD                                     Posterodorsal preoptic nucleus
        PDTg                                    Posterodorsal tegmental nucleus
       VISpl                                         Posterolateral visual area
      VISpl1                                Posterolateral visual area, layer 1
    VISpl2/3                              Posterolateral visual area, layer 2/3
      VISpl4                                Posterolateral visual area, layer 4
      VISpl5                                Posterolateral visual area, layer 5
     VISpl6a                               Posterolateral visual area, layer 6a
     VISpl6b                               Posterolateral visual area, layer 6b
          TR                                       Postpiriform transition area
      VISpor                                                    Postrhinal area
     VISpor1                                           Postrhinal area, layer 1
   VISpor2/3                                         Postrhinal area, layer 2/3
     VISpor4                                           Postrhinal area, layer 4
     VISpor5                                           Postrhinal area, layer 5
    VISpor6a                                          Postrhinal area, layer 6a
    VISpor6b                                          Postrhinal area, layer 6b
        POST                                                      Postsubiculum
         PRC                                             Precommissural nucleus
          PL                                                     Prelimbic area
         PL1                                            Prelimbic area, layer 1
       PL2/3                                          Prelimbic area, layer 2/3
         PL5                                            Prelimbic area, layer 5
        PL6a                                           Prelimbic area, layer 6a
        PL6b                                           Prelimbic area, layer 6b
         PST                                         Preparasubthalamic nucleus
         PRE                                                       Presubiculum
         PRT                                                   Pretectal region
        AUDp                                              Primary auditory area
       AUDp1                                     Primary auditory area, layer 1
     AUDp2/3                                   Primary auditory area, layer 2/3
       AUDp4                                     Primary auditory area, layer 4
       AUDp5                                     Primary auditory area, layer 5
      AUDp6a                                    Primary auditory area, layer 6a
      AUDp6b                                    Primary auditory area, layer 6b
         MOp                                                 Primary motor area
        MOp1                                        Primary motor area, Layer 1
      MOp2/3                                      Primary motor area, Layer 2/3
        MOp5                                        Primary motor area, Layer 5
       MOp6a                                       Primary motor area, Layer 6a
       MOp6b                                       Primary motor area, Layer 6b
         SSp                                         Primary somatosensory area
     SSp-bfd                           Primary somatosensory area, barrel field
    SSp-bfd1                  Primary somatosensory area, barrel field, layer 1
  SSp-bfd2/3                Primary somatosensory area, barrel field, layer 2/3
    SSp-bfd4                  Primary somatosensory area, barrel field, layer 4
    SSp-bfd5                  Primary somatosensory area, barrel field, layer 5
   SSp-bfd6a                 Primary somatosensory area, barrel field, layer 6a
   SSp-bfd6b                 Primary somatosensory area, barrel field, layer 6b
      SSp-ll                             Primary somatosensory area, lower limb
     SSp-ll1                    Primary somatosensory area, lower limb, layer 1
   SSp-ll2/3                  Primary somatosensory area, lower limb, layer 2/3
     SSp-ll4                    Primary somatosensory area, lower limb, layer 4
     SSp-ll5                    Primary somatosensory area, lower limb, layer 5
    SSp-ll6a                   Primary somatosensory area, lower limb, layer 6a
    SSp-ll6b                   Primary somatosensory area, lower limb, layer 6b
       SSp-m                                  Primary somatosensory area, mouth
      SSp-m1                         Primary somatosensory area, mouth, layer 1
    SSp-m2/3                       Primary somatosensory area, mouth, layer 2/3
      SSp-m4                         Primary somatosensory area, mouth, layer 4
      SSp-m5                         Primary somatosensory area, mouth, layer 5
     SSp-m6a                        Primary somatosensory area, mouth, layer 6a
     SSp-m6b                        Primary somatosensory area, mouth, layer 6b
       SSp-n                                   Primary somatosensory area, nose
      SSp-n1                          Primary somatosensory area, nose, layer 1
    SSp-n2/3                        Primary somatosensory area, nose, layer 2/3
      SSp-n4                          Primary somatosensory area, nose, layer 4
      SSp-n5                          Primary somatosensory area, nose, layer 5
     SSp-n6a                         Primary somatosensory area, nose, layer 6a
     SSp-n6b                         Primary somatosensory area, nose, layer 6b
      SSp-tr                                  Primary somatosensory area, trunk
     SSp-tr1                         Primary somatosensory area, trunk, layer 1
   SSp-tr2/3                       Primary somatosensory area, trunk, layer 2/3
     SSp-tr4                         Primary somatosensory area, trunk, layer 4
     SSp-tr5                         Primary somatosensory area, trunk, layer 5
    SSp-tr6a                        Primary somatosensory area, trunk, layer 6a
    SSp-tr6b                        Primary somatosensory area, trunk, layer 6b
      SSp-un                             Primary somatosensory area, unassigned
     SSp-un1                    Primary somatosensory area, unassigned, layer 1
   SSp-un2/3                  Primary somatosensory area, unassigned, layer 2/3
     SSp-un4                    Primary somatosensory area, unassigned, layer 4
     SSp-un5                    Primary somatosensory area, unassigned, layer 5
    SSp-un6a                   Primary somatosensory area, unassigned, layer 6a
    SSp-un6b                   Primary somatosensory area, unassigned, layer 6b
      SSp-ul                             Primary somatosensory area, upper limb
     SSp-ul1                    Primary somatosensory area, upper limb, layer 1
   SSp-ul2/3                  Primary somatosensory area, upper limb, layer 2/3
     SSp-ul4                    Primary somatosensory area, upper limb, layer 4
     SSp-ul5                    Primary somatosensory area, upper limb, layer 5
    SSp-ul6a                   Primary somatosensory area, upper limb, layer 6a
    SSp-ul6b                   Primary somatosensory area, upper limb, layer 6b
        VISp                                                Primary visual area
       VISp1                                       Primary visual area, layer 1
     VISp2/3                                     Primary visual area, layer 2/3
       VISp4                                       Primary visual area, layer 4
       VISp5                                       Primary visual area, layer 5
      VISp6a                                      Primary visual area, layer 6a
      VISp6b                                      Primary visual area, layer 6b
         PSV                        Principal sensory nucleus of the trigeminal
        ProS                                                       Prosubiculum
         PYR                                                     Pyramus (VIII)
          RN                                                        Red nucleus
          RT                                  Reticular nucleus of the thalamus
         RCH                                               Retrochiasmatic area
         RHP                                            Retrohippocampal region
         RPF                                        Retroparafascicular nucleus
         RSP                                                 Retrosplenial area
        RSPd                                    Retrosplenial area, dorsal part
       RSPd1                           Retrosplenial area, dorsal part, layer 1
     RSPd2/3                         Retrosplenial area, dorsal part, layer 2/3
       RSPd4                           Retrosplenial area, dorsal part, layer 4
       RSPd5                           Retrosplenial area, dorsal part, layer 5
      RSPd6a                          Retrosplenial area, dorsal part, layer 6a
      RSPd6b                          Retrosplenial area, dorsal part, layer 6b
      RSPagl                         Retrosplenial area, lateral agranular part
     RSPagl1                Retrosplenial area, lateral agranular part, layer 1
   RSPagl2/3              Retrosplenial area, lateral agranular part, layer 2/3
     RSPagl5                Retrosplenial area, lateral agranular part, layer 5
    RSPagl6a               Retrosplenial area, lateral agranular part, layer 6a
    RSPagl6b               Retrosplenial area, lateral agranular part, layer 6b
        RSPv                                   Retrosplenial area, ventral part
       RSPv1                          Retrosplenial area, ventral part, layer 1
     RSPv2/3                        Retrosplenial area, ventral part, layer 2/3
       RSPv5                          Retrosplenial area, ventral part, layer 5
      RSPv6a                         Retrosplenial area, ventral part, layer 6a
      RSPv6b                         Retrosplenial area, ventral part, layer 6b
          RH                                                   Rhomboid nucleus
          RL                                       Rostral linear nucleus raphe
      VISrl1                                        Rostrolateral area, layer 1
    VISrl2/3                                      Rostrolateral area, layer 2/3
      VISrl4                                        Rostrolateral area, layer 4
      VISrl5                                        Rostrolateral area, layer 5
     VISrl6a                                       Rostrolateral area, layer 6a
     VISrl6b                                       Rostrolateral area, layer 6b
       VISrl                                          Rostrolateral visual area
         MOs                                               Secondary motor area
        MOs1                                      Secondary motor area, layer 1
      MOs2/3                                    Secondary motor area, layer 2/3
        MOs5                                      Secondary motor area, layer 5
       MOs6a                                     Secondary motor area, layer 6a
       MOs6b                                     Secondary motor area, layer 6b
          SF                                              Septofimbrial nucleus
          SH                                           Septohippocampal nucleus
         SIM                                                      Simple lobule
          MO                                                  Somatomotor areas
          SS                                                Somatosensory areas
        SPVC                      Spinal nucleus of the trigeminal, caudal part
        SPVI                  Spinal nucleus of the trigeminal, interpolar part
        SPVO                        Spinal nucleus of the trigeminal, oral part
        SPIV                                          Spinal vestibular nucleus
         STR                                                           Striatum
        STRd                                             Striatum dorsal region
        STRv                                            Striatum ventral region
        sAMY                                     Striatum-like amygdalar nuclei
         SLC                                                Subceruleus nucleus
         SCO                                               Subcommissural organ
         SFO                                                  Subfornical organ
        SubG                                              Subgeniculate nucleus
         SUB                                                          Subiculum
         SLD                                            Sublaterodorsal nucleus
         SMT                                  Submedial nucleus of the thalamus
         SPA                                             Subparafascicular area
         SPF                                          Subparafascicular nucleus
        SPFm                      Subparafascicular nucleus, magnocellular part
        SPFp                      Subparafascicular nucleus, parvicellular part
        SBPV                                            Subparaventricular zone
          SI                                              Substantia innominata
         SNc                                     Substantia nigra, compact part
         SNr                                   Substantia nigra, reticular part
         STN                                                Subthalamic nucleus
          CS                                     Superior central nucleus raphe
         SCm                                 Superior colliculus, motor related
        SCdg                Superior colliculus, motor related, deep gray layer
        SCdw               Superior colliculus, motor related, deep white layer
        SCig        Superior colliculus, motor related, intermediate gray layer
        SCiw       Superior colliculus, motor related, intermediate white layer
        SCop                                   Superior colliculus, optic layer
         SCs                               Superior colliculus, sensory related
